title,url,points,comments
Semaglutide linked to 26% lower 5-year predicted dementia risk,https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/dad2.70432,92 points,52
The First At-Home Test for Infected Ticks Could Improve Lyme Disease Diagnosis,https://www.smithsonianmag.com/innovation/the-first-at-home-test-for-infected-ticks-could-improve-lyme-disease-diagnosis-180989235/,110 points,40
RISC-V: They Should Have Known Better,https://dmitry.gr/?r=06.%20Thoughts&proj=12.%20RV,68 points,217
Auto-research with codex: How I achieved a 232x Faster Kernel,https://sankalp.bearblog.dev/autoresearch/,274 points,75
A Spectre Is Haunting Unicode,https://www.dampfkraft.com/ghost-characters.html,43 points,5
A controversial Alzheimer's surgery is said to reverse symptoms,https://www.nature.com/articles/d41586-026-02448-x,62 points,13
Working with AI Feels More Like Leadership Than Coding,https://allen.bargi.org/notes/working-with-ai-feels-like-leadership/,150 points,106
The other Sean Byrne doesn't exist,https://conic.al/writing/the-other-sean-byrne-doesnt-exist/,326 points,154
2D Gaussian Splatting for Bézier Spline Line Art Vectorization,https://studios.disneyresearch.com/2026/07/16/2d-gaussian-splatting-for-bezier-spline-line-art-vectorization/,22 points,2
The mathematical beauty of hyperbezier curves,https://linebender.org/blog/hyperbezier/,134 points,16
Show HN: Eigendrum - Draw any shape and hear what it sounds like as a drum,https://baselashraf81.github.io/eigendrum/,126 points,80
Could a computer scientist build a brain?,https://stankerstjens.github.io/could-a-computer-scientist-build-a-brain/,31 points,18
The Dutch Community Where People Live on Strips of Land in a Lake,https://www.core77.com/posts/144869,22 points,5
Show HN: Quasicrystals Animation Playground with WebXR,https://hypnagogic-quasicrystals.github.io/,28 points,8
Yadda 3.0.0: BDD in the Age of AI Agents,http://www.stephen-cresswell.com/2026/08/15/Yadda-3.0.0-BDD-in-the-Age-of-AI-Agents.html,36 points,16
Europe's scorched landscapes seen from space after summer heatwaves,https://www.bbc.com/news/articles/c4gxy0wqqd9o,17 points,1
"Going Dark, and the era of law enforcement hacking",https://blog.cryptographyengineering.com/2026/08/14/everything-is-about-to-go-dark/,421 points,221
TreasuryDirect: Prepare for ID.me – Your New Way to Log In,https://www.treasurydirect.gov/savings-bonds/idme-one-month/,8 points,9
Using GCC's Nested Functions with Wide Pointers and No Trampolines II,https://uecker.codeberg.page/2026-07-14.html,67 points,34
"The Programming Ape (Code Hale, 2012) [video]",https://www.youtube.com/watch?v=e_6gkfTomUQ,3 points,0
The Color of White Light,https://ludens.cl/photo/spectra/spectra.html,58 points,37
"In 1962, Egypt's Missile Program Lost Its Key Scientist Without a Trace",https://www.popularmechanics.com/military/a73358518/nazi-rocket-scientist-disappearance/,99 points,63
Qwen 3.8 27B,https://huggingface.co/Qwen/Qwen3.8-27B-FP8,1293 points,751
Google is making private AI practical with homomorphic encryption,https://blog.google/security/how-google-is-making-private-ai-practical-with-homomorphic-encryption/,465 points,272
Möbius Strips and Differential Equations,https://hidden-phenomena.com/articles/monodromy,36 points,8
Firefox is now the last major browser that still supports uBlock Origin,https://www.pcworld.com/article/3212428/firefox-is-now-the-last-major-browser-that-still-supports-ublock-origin.html,1527 points,574
A Planet Position Widget,https://leancrew.com/all-this/2026/08/a-planet-position-widget/,11 points,1
Xorshift Generators,https://www.alanzucconi.com/2026/08/15/xorshift-generators/,18 points,13
T3X/0 a Minimal Procedural Language,https://t3x.org/t3x/0/index.html,22 points,0
Show HN: ThoughtDAG – An editable context graph for LLM conversations,https://chenxiachan.github.io/thoughtdag/,93 points,45
