rank,country,population,percent_world
World,"8,232,000,000",100%,13 Jun 2025
India,"1,429,404,000",17.3%,1 Jul 2026
China,"1,404,890,000",17.0%,31 Dec 2025
United States,"341,784,857",4.1%,1 Jul 2025
Indonesia,"288,315,089",3.5%,31 Dec 2025
Pakistan,"241,499,431",2.9%,1 Mar 2023
Nigeria,"223,800,000",2.7%,1 Jul 2023
Brazil,"213,421,037",2.6%,1 Jul 2025
Bangladesh,"169,828,911",2.1%,14 Jun 2022
Russia,"146,028,325",1.8%,1 Jan 2025
Mexico,"131,150,866",1.6%,31 Mar 2026
Japan,"122,930,000",1.5%,1 Jul 2026
Democratic Republic of the Congo,"116,452,162",1.4%,1 Jul 2026
Philippines,"114,849,400",1.4%,1 Jul 2026
Ethiopia,"111,652,998",1.4%,1 Jul 2025
Egypt,"108,613,296",1.3%,1 Jan 2026
Vietnam,"102,300,000",1.2%,31 Dec 2025
Iran,"87,134,000",1.1%,21 Mar 2026
Turkey,"86,092,168",1.0%,31 Dec 2025
Germany,"83,467,117",1.0%,31 Dec 2025
Tanzania,"70,038,850",0.8%,1 Jul 2026
United Kingdom,"69,487,000",0.8%,30 Jun 2025
France,"69,081,996",0.8%,1 Jan 2026
Thailand,"70,250,751",0.9%,2025
South Africa,"63,100,945",0.8%,30 Jun 2025
Italy,"58,940,756",0.7%,31 May 2026
Colombia,"53,399,171",0.6%,1 Jan 2026
Kenya,"53,330,978",0.6%,1 Jul 2025
Sudan,"53,282,719",0.6%,1 Jul 2026
Myanmar,"51,375,327",0.6%,15 Oct 2024
South Korea,"51,097,986",0.6%,2 Jul 2026
Spain,"49,801,559",0.6%,1 Jul 2026
Algeria,"47,400,000",0.6%,1 Jan 2025
Argentina,"46,466,688",0.6%,1 Jul 2026
Iraq,"46,118,793",0.6%,21 Nov 2024
Uganda,"45,905,417",0.6%,10 May 2024
Afghanistan,"43,844,000",0.5%,1 Jul 2025
Canada,"41,417,056",0.5%,1 Apr 2026
Uzbekistan,"39,047,321",0.5%,15 Jan 2026
Angola,"38,778,554",0.5%,1 Jan 2026
Poland,"37,256,000",0.5%,31 May 2026
Morocco,"36,828,330",0.4%,1 Sep 2024
Saudi Arabia,"35,300,280",0.4%,1 Jul 2024
Mozambique,"34,958,973",0.4%,1 Jul 2026
Malaysia,"34,389,400",0.4%,30 Jun 2026
Ghana,"34,378,768",0.4%,1 Jul 2026
Peru,"34,157,732",0.4%,4 Aug 2025
Yemen,"32,684,503",0.4%,1 Jul 2023
